stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, evevitada, url
353200,대덕전자,637800000000.0,0.0,49416925.0,25050,0,-100.0,21.15,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=353200
344820,케이씨씨글라스,1319900000000.0,0.0,15970512.0,57800,0,-100.0,5.85,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=344820
338100,NH프라임리츠,94200000000.0,3.286666666666667,18660000.0,4825,1829,-62.09326424870466,22.52,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=338100
308170,센트랄모텍,104800000000.0,6.378333333333333,8610000.0,17700,8560,-51.63841807909605,10.83,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=308170
322000,현대에너지솔루션,328700000000.0,1.93,11200000.0,21750,6245,-71.28735632183908,12.82,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=322000
272210,한화시스템,1032700000000.0,8.950000000000001,188919389.0,14950,5394,-63.91973244147158,12.77,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=272210
317400,자이에스앤디,162500000000.0,16.76,38782520.0,9090,7743,-14.81848184818482,11.34,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=317400
330590,롯데리츠,1168600000000.0,1.75,242968884.0,5500,928,-83.12727272727273,52.04,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=330590
013890,지누스,414400000000.0,19.301666666666666,15800450.0,74100,55813,-24.678812415654523,11.92,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=013890
336260,두산퓨얼셀,512500000000.0,4.18,65493726.0,36500,3606,-90.12054794520547,68.83,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=336260
336370,솔루스첨단소재,292200000000.0,-5.1,30589758.0,62900,-5371,-108.5389507154213,40.59,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=336370
036420,제이콘텐트리,194000000000.0,-24.95,18348613.0,54500,-29085,-153.36697247706422,39.8,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036420
003670,포스코케미칼,1000700000000.0,8.496666666666666,77463220.0,114000,12102,-89.38421052631578,75.09,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=003670
307950,현대오토에버,555000000000.0,11.546666666666667,27423982.0,108000,25764,-76.14444444444445,19.26,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=307950
192650,드림텍,266400000000.0,13.721666666666666,64854408.0,11000,6214,-43.50909090909091,13.33,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=192650
192080,더블유게임즈,678400000000.0,17.95,18374502.0,49300,73068,48.21095334685598,3.19,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=192080
316140,우리금융지주,23053600000000.0,5.87,728060549.0,14200,20493,44.316901408450704,19.4,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=316140
298690,에어부산,110300000000.0,0.0,193920000.0,2210,0,-100.0,-17.11,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=298690
267850,아시아나IDT,130200000000.0,-3.728333333333333,11100000.0,18050,-4822,-126.71468144044323,12.11,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=267850
306200,세아제강,595300000000.0,5.253333333333333,2836300.0,98700,121566,23.167173252279635,5.31,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=306200
293480,하나제약,232400000000.0,10.770000000000001,17772946.0,18700,15527,-16.967914438502675,7.19,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=293480
010400,우진아이엔에스,101400000000.0,4.088333333333334,7622000.0,6750,5997,-11.155555555555557,2.07,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=010400
293940,신한알파리츠,284300000000.0,1.1316666666666666,52330123.0,8030,678,-91.55666251556663,66.67,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=293940
300720,한일시멘트,1300600000000.0,0.0,69261540.0,17700,0,-100.0,8.23,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=300720
091810,티웨이항공,117000000000.0,-67.04666666666667,110330279.0,3365,-7839,-332.95690936106985,-9.43,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=091810
286940,롯데정보통신,413400000000.0,10.246666666666666,15396331.0,36300,30334,-16.43526170798898,6.66,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=286940
298040,효성중공업,883600000000.0,-1.17,9324548.0,55900,-12224,-121.86762075134168,13.83,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=298040
298050,효성첨단소재,312800000000.0,-6.56,4479948.0,459500,-50500,-110.99020674646354,17.18,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=298050
298020,효성티앤씨,601000000000.0,23.686666666666667,4327682.0,484500,362673,-25.144891640866874,6.97,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=298020
298000,효성화학,402400000000.0,5.316666666666667,3190126.0,270000,73940,-72.6148148148148,10.39,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=298000
088260,이리츠코크렙,251900000000.0,2.7300000000000004,63341590.0,5980,1197,-79.98327759197325,38.45,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=088260
294870,HDC현대산업개발,2743000000000.0,12.666666666666666,65907330.0,15850,58123,266.7066246056782,1.31,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=294870
018250,애경산업,333000000000.0,10.738333333333335,26409935.0,18650,14928,-19.95710455764075,11.18,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=018250
068270,셀트리온,3335300000000.0,13.876666666666667,137955531.0,155500,36989,-76.2128617363344,24.63,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=068270
284740,쿠쿠홈시스,501300000000.0,14.921666666666669,22437330.0,37800,36757,-2.759259259259259,4.02,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=284740
285130,SK케미칼,952900000000.0,15.888333333333334,17620780.0,122000,94731,-22.351639344262296,12.56,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=285130
282330,BGF리테일,696800000000.0,23.766666666666666,17283906.0,165000,105640,-35.97575757575758,5.8,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=282330
092780,동양피스톤,93300000000.0,1.741666666666667,13168460.0,5720,1361,-76.2062937062937,10.33,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=092780
272450,진에어,98200000000.0,-95.81333333333333,52200000.0,16050,-19873,-223.81931464174457,-15.37,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=272450
281820,케이씨텍,347800000000.0,15.125,20861556.0,20900,27802,33.02392344497608,3.98,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=281820
282690,동아타이어,366900000000.0,3.69,13733015.0,11000,10869,-1.190909090909091,5.84,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=282690
272550,삼양패키징,307700000000.0,10.266666666666667,15788671.0,23400,22060,-5.726495726495727,5.8,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=272550
055490,테이팩스,114400000000.0,9.991666666666667,4717650.0,79600,26714,-66.43969849246231,20.36,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=055490
280360,롯데제과,1187400000000.0,2.93,6416717.0,114000,59778,-47.56315789473684,5.45,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=280360
271980,제일약품,172400000000.0,0.0,14704872.0,26400,0,-100.0,19.68,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=271980
035720,카카오,6298900000000.0,-0.41333333333333294,445962051.0,94400,-644,-100.68220338983052,54.47,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=035720
271560,오리온,1830000000000.0,14.215000000000002,39536132.0,94400,72543,-23.153601694915256,6.89,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=271560
268280,미원에스씨,261100000000.0,13.58,5100000.0,195500,76653,-60.79130434782609,14.16,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=268280
267290,경동도시가스,356400000000.0,7.065,5895406.0,27900,47090,68.78136200716845,0.93,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=267290
251270,넷마블,5407100000000.0,5.081666666666666,85953502.0,102500,35245,-65.61463414634147,22.08,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=251270
267270,현대건설기계,1218300000000.0,0.9316666666666666,19700793.0,33350,6352,-80.95352323838081,6.22,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=267270
267260,현대일렉트릭,679200000000.0,-17.433333333333334,36047135.0,20200,-36216,-279.28712871287127,8.5,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=267260
267250,현대중공업지주,7014900000000.0,-2.7383333333333333,78993085.0,51000,-26811,-152.5705882352941,69.53,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=267250
264900,크라운제과,152700000000.0,12.005,12523850.0,8990,16138,79.51056729699665,5.17,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=264900
145720,덴티움,229300000000.0,10.834999999999999,11068830.0,57100,24747,-56.660245183887916,14.96,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=145720
111110,호전실업,107100000000.0,-6.095,9493577.0,9580,-7581,-179.13361169102296,22.26,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=111110
143210,핸즈코퍼레이션,314400000000.0,-0.3266666666666666,21863268.0,4885,-518,-110.60388945752302,12.88,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=143210
241560,두산밥캣,4073800000000.0,6.655000000000001,100249166.0,37100,29817,-19.630727762803236,7.68,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=241560
207940,삼성바이오로직스,4598800000000.0,0.0,66165000.0,769000,0,-100.0,116.47,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=207940
234080,JW생명과학,132100000000.0,15.426666666666668,15834554.0,14850,14189,-4.451178451178451,5.21,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=234080
241590,화승엔터프라이즈,517800000000.0,12.318333333333335,60575033.0,16600,11609,-30.066265060240966,9.52,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=241590
229640,LS전선아시아,133300000000.0,8.061666666666666,30624879.0,7570,3869,-48.89035667107001,13.7,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=229640
204210,모두투어리츠,43600000000.0,3.8400000000000003,7826815.0,4590,2358,-48.627450980392155,18.6,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=204210
249420,일동제약,254500000000.0,-3.5033333333333334,24803285.0,58500,-3963,-106.77435897435899,44.66,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=249420
248170,샘표식품,192200000000.0,18.945,4568286.0,43850,87879,100.40820980615734,2.91,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=248170
016740,두올,179200000000.0,5.443333333333334,33066680.0,3550,3252,-8.394366197183098,3.39,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=016740
026960,동서,1381900000000.0,9.38,99700000.0,26950,14334,-46.8126159554731,39.85,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=026960
123890,한국자산신탁,768900000000.0,16.893333333333334,123977752.0,3680,11551,213.8858695652174,2.85,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=123890
034830,한국토지신탁,919300000000.0,12.585,252489230.0,2170,5052,132.8110599078341,6.41,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=034830
195870,해성디에스,231800000000.0,11.671666666666667,17000000.0,51300,17546,-65.79727095516569,13.12,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=195870
070960,용평리조트,377800000000.0,-2.9933333333333336,48133333.0,4920,-2590,-152.6422764227642,29.22,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=070960
101530,해태제과식품,262900000000.0,1.1916666666666662,29116822.0,7840,1186,-84.87244897959184,6.11,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=101530
004440,삼일씨엔에스,277400000000.0,-0.29833333333333334,12731947.0,9640,-717,-107.43775933609957,9.26,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=004440
194370,제이에스코퍼레이션,150600000000.0,3.15,13335601.0,24800,3922,-84.18548387096774,28.45,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=194370
226320,잇츠한불,396200000000.0,-1.8150000000000002,21929315.0,21700,-3615,-116.6589861751152,16.8,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=226320
075580,세진중공업,154600000000.0,1.2899999999999998,56849456.0,6880,387,-94.375,59.9,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=075580
214330,금호에이치티,221200000000.0,-1.2366666666666664,196566696.0,1685,-153,-109.08011869436203,81.32,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=214330
089590,제주항공,216800000000.0,-56.36499999999999,49759668.0,20900,-27076,-229.55023923444978,-9.24,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=089590
227840,현대코퍼레이션홀딩스,175800000000.0,7.396666666666666,9100836.0,10700,15753,47.22429906542056,4.56,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=227840
079550,LIG넥스원,672500000000.0,8.86,22000000.0,64000,29860,-53.34375,16.37,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=079550
039570,HDC랩스,163900000000.0,5.665,25957601.0,10250,3944,-61.5219512195122,8.4,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=039570
002690,동일제강,129800000000.0,0.41500000000000004,20300360.0,2970,293,-90.13468013468014,7.25,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=002690
095570,AJ네트웍스,285100000000.0,4.4750000000000005,46822295.0,5390,3004,-44.26716141001855,5.87,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=095570
214320,이노션,769300000000.0,9.263333333333334,20000000.0,50600,39285,-22.361660079051386,3.58,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=214320
