stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, url, evevitda
036690,코맥스,71000000000.0,4.425,15287331.0,4435,2266,-48.906426155580604,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036690,10.54
037370,EG,46200000000.0,-12.391666666666666,8287477.0,12300,-7616,-161.91869918699186,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=037370,-29.78
036620,감성코퍼레이션,23600000000.0,-31.543333333333333,78155673.0,2080,-1050,-150.48076923076923,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036620,-40.27
037350,성도이엔지,228900000000.0,13.121666666666664,15470000.0,5170,21406,314.04255319148933,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=037350,1.88
038010,제일테크노스,71900000000.0,0.08833333333333353,9000000.0,6040,78,-98.70860927152317,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=038010,27.71
001810,무림SP,204700000000.0,1.5883333333333336,22137500.0,3205,1619,-49.48517940717629,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=001810,8.04
036630,세종텔레콤,352700000000.0,2.83,596000000.0,506,185,-63.43873517786561,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036630,6.72
036710,심텍홀딩스,137100000000.0,5.311666666666667,40663579.0,5890,1974,-66.4855687606112,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036710,2.26
037070,파세코,86600000000.0,13.829999999999998,20000000.0,20250,6602,-67.39753086419753,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=037070,18.39
016250,SGC이테크건설,141400000000.0,44.28666666666666,2024247.0,58800,341076,480.0612244897959,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=016250,3.63
036560,영풍정밀,281400000000.0,4.461666666666667,15750000.0,9130,8789,-3.734939759036145,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=036560,6.69
