N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
22,HMM,"36,100","5,100",+16.45%,"5,000","34,995,856","31,350","36,150","31,050","35,150","35,200","1,202,558","8,387,135","192,206","610,576","489,039",11.56,"176,788","64,133","93,734","76,848","9,808",16.33,"1,240","7,939",0,427.26,4.55,8.93,1.50,1.91,-176.1
23,SK,"229,000","3,500",-1.51%,200,"65,803","232,500","234,000","228,000","229,000","229,500","15,189","94,123","20,893","6,224","74,149",21.78,"170,173","818,201","1,376,384","857,785","-1,645",-16.35,"-1,084","8,557","7,000",-104.40,26.82,1.11,-0.08,0.59,"127,125.6"
24,한국전력,"23,950",150,-0.62%,"5,000","1,472,737","24,050","24,250","23,800","23,900","23,950","35,321","5,832,722","338,953","331,400","641,964",14.71,"153,750","585,693","2,031,421","1,324,753","40,863",-1.02,"20,925","-1,697","1,216",420.11,-14.11,2.91,1.04,0.23,"1,657.5"
25,LG생활건강,"949,000","10,000",-1.04%,"5,000","22,474","959,000","969,000","944,000","949,000","950,000","21,394","32,954","4,320",896,"15,618",41.78,"148,217","80,915","75,552","20,574","12,896",3.15,"8,611","47,665","12,000",5.63,19.91,16.65,12.00,2.95,"6,300.2"
26,크래프톤,"284,500","14,000",-4.69%,100,"157,383","296,500","297,500","284,000","285,000","285,500","45,392","121,273","23,297","8,150","49,072",29.67,"139,610","16,704","17,191","5,050","7,739",53.61,"5,563","12,758",0,115.39,22.30,61.86,41.07,2.94,"24,347.3"
27,하나금융지주,"46,350",900,-1.90%,"5,000","433,220","46,800","46,800","46,050","46,300","46,350","20,188","893,191","60,033","20,005","300,242",71.33,"139,162","482,159","4,603,133","4,287,130","38,364",25.62,"26,849","10,706","1,850",17.73,4.33,8.96,0.61,0.40,"2,025.0"
28,두산중공업,"21,600",350,+1.65%,"5,000","10,089,234","21,350","21,900","21,000","21,750","21,800","217,198","14,544,579","401,291","1,637,617","605,103",8.73,"130,400","151,324","255,672","184,607","1,541",-3.37,"-8,384",332,0,-85.69,64.91,-37.20,-3.33,2.10,31.8
29,삼성전기,"165,500","5,000",-2.93%,"5,000","354,807","170,000","170,500","165,000","165,500","166,000","59,173","468,608","178,911","57,725","74,694",29.77,"123,618","96,750","99,414","30,702","14,869",24.79,"9,154","11,500","2,100",62.90,14.39,14.29,9.55,1.87,"1,510.5"
30,SK텔레콤,"56,200","1,300",+2.37%,100,"687,346","54,900","56,200","54,400","55,900","56,000","38,054","432,559","49,890","64,987","218,833",45.04,"122,984","186,247","479,070","235,107","13,493",4.98,"15,005","6,446","2,000",21.76,8.72,6.44,3.22,0.76,"58,016.1"
31,삼성생명,"60,600",700,-1.14%,500,"100,536","61,400","61,400","60,400","60,400","60,500","6,097","217,201","35,893","11,238","200,000",12.71,"121,000","345,343","3,365,693","2,929,587","17,900",8.59,"13,705","7,822","2,500",42.91,7.73,3.53,0.42,0.29,"45,621.0"
32,LG,"74,700",600,+0.81%,"5,000","130,173","74,100","74,700","73,500","74,400","74,500","9,654","287,319","14,470","16,002","157,301",36.30,"117,504","66,321","242,823","34,210","17,022",1.50,"15,407","15,161","2,500",71.20,4.93,7.50,6.60,0.56,"2,245.6"
33,하이브,"275,500","3,000",-1.08%,500,"128,370","278,000","280,000","273,000","275,000","275,500","35,431","330,762","20,129","10,859","41,353",15.10,"113,929","7,963","19,244","7,255","1,455",35.60,871,"2,811",0,47.37,98.01,12.52,7.61,5.39,"6,604.1"
34,SK바이오사이언스,"146,000","3,000",-2.01%,500,"197,571","149,000","149,000","144,000","145,500","146,000","28,876","375,934","55,384","28,970","76,500",5.49,"112,072","2,256","5,622","2,984",377,22.66,329,"2,597",N/A,65.42,56.41,13.25,6.81,7.89,763.9
35,KT&G,"80,600",200,+0.25%,"5,000","126,204","80,500","80,700","80,100","80,400","80,500","10,181","163,444","22,980","61,650","137,292",36.52,"110,520","53,016","114,684","23,768","14,811",6.82,"11,716","8,673","4,800",7.35,9.28,13.22,10.55,1.07,902.0
36,삼성에스디에스,"139,500","2,500",-1.76%,500,"32,394","142,000","142,000","139,500","139,500","140,000","4,544","54,178","24,354","14,482","77,378",11.47,"108,329","110,174","91,549","22,958","8,716",2.78,"4,529","8,783","2,400",-11.97,15.94,6.71,4.98,1.51,"17,986.5"
37,아모레퍼시픽,"184,000","2,500",-1.34%,500,"94,795","187,000","189,000","183,500","183,500","184,000","17,622","123,549","13,538","10,971","58,493",30.20,"107,627","44,322","57,019","12,375","1,430",-20.57,219,"2,593",800,-66.57,70.96,0.78,0.37,2.62,"13,246.9"
38,고려아연,"564,000","12,000",+2.17%,"5,000","30,827","557,000","564,000","545,000","557,000","558,000","17,084","60,525","1,661","3,780","18,870",18.58,"106,238","75,819","84,996","14,126","8,974",13.25,"5,748","39,987","15,000",11.43,14.08,8.37,7.04,1.35,"7,415.2"
39,S-Oil,"89,900",600,+0.67%,"2,500","474,490","88,800","92,000","86,900","89,600","89,700","42,562","842,086","6,707","5,812","112,583",77.93,"100,987","168,297","156,905","100,080","-10,991",-31.01,"-7,961","10,387",0,-361.65,8.64,-13.07,-4.97,1.57,"1,841.2"
40,현대중공업,"113,500",500,+0.44%,"5,000","152,772","112,000","114,500","111,000","113,500","114,000","17,202","374,950","41,636","44,057","88,773",2.42,"100,757","83,120","137,997","84,389",325,52.33,"15,152","3,270",360,-25.70,4.22,5.87,0.40,0.40,640.0
41,우리금융지주,"13,800",350,-2.47%,"5,000","1,801,095","13,950","14,050","13,700","13,800","13,850","24,906","2,354,759","877,740","545,332","728,061",34.05,"100,472","286,376","3,990,810","3,723,552","20,804",26.11,"-4,314","-9,163",0,-74.89,-12.33,-7.86,-3.12,1.63,"1,168.5"
42,대한항공,"28,550",250,-0.87%,"5,000","784,406","28,900","28,950","28,550","28,550","28,600","22,496","1,278,390","333,571","142,968","347,821",12.45,"99,477","76,062","251,901","218,783","1,089",-38.58,"-2,300","2,129",0,-38.15,13.43,-7.22,-0.88,1.59,113.6
43,엔씨소프트,"438,500","21,000",-4.57%,500,"178,997","457,500","457,500","438,000","438,500","439,000","79,228","125,339","22,022","3,451","21,954",43.41,"96,268","24,162","40,812","9,365","8,248",42.03,"5,866","16,197","8,550",72.19,27.07,20.83,15.80,2.88,"29,973.4"
