N,종목명,현재가,전일비,등락률,액면가,거래량,시가,고가,저가,매수호가,매도호가,거래대금,전일거래량,매수총잔량,매도총잔량,상장주식수,외국인비율,시가총액,매출액,자산총계,부채총계,영업이익,매출액증가율,당기순이익,주당순이익,보통주배당금,영업이익증가율,PER,ROE,ROA,PBR,유보율
23,동진쎄미켐,"33,700",550,+1.66%,500,"552,541","34,100","34,800","33,700","33,700","33,750","18,827","582,625","81,882","24,304","51,414",7.67,"17,327","9,378","9,608","5,228","1,263",7.15,853,"1,585",100,20.40,21.26,21.58,9.47,3.31,"1,535.5"
24,아프리카TV,"148,100","1,800",+1.23%,500,"346,333","151,000","153,500","146,600","148,100","148,700","51,861","213,308","16,210","35,457","11,495",44.49,"17,024","1,966","2,920","1,445",504,18.04,363,"5,560",650,35.57,26.64,27.56,13.93,8.46,"2,781.8"
25,솔브레인,"218,400","12,400",+6.02%,500,"68,645","210,200","222,300","209,800","217,900","218,500","14,902","32,471","2,163",792,"7,779",27.08,"16,988","4,701","7,177","2,093","1,040",N/A,649,"17,888","1,950",N/A,12.21,N/A,N/A,2.83,"12,225.5"
26,심텍,"51,500","1,400",+2.79%,500,"713,142","51,400","52,400","50,100","51,500","51,600","36,483","612,566","12,938","38,842","31,854",14.91,"16,405","12,014","7,798","4,915",897,20.12,565,"2,405",320,600.53,21.41,25.12,6.98,4.67,"1,597.7"
27,위지윅스튜디오,"36,000",500,+1.41%,500,"311,321","36,500","37,450","36,000","36,000","36,050","11,416","702,883","13,356","4,788","42,732",4.44,"15,384","1,102","1,789",845,18,137.47,32,-102,0,-72.11,-352.94,-2.24,2.21,6.81,281.2
28,메지온,"169,400","6,300",+3.86%,500,"65,809","166,700","172,200","164,500","169,400","169,500","11,046","36,306","2,532","2,266","8,901",14.45,"15,078",286,756,188,-75,59.79,-138,-702,0,69.53,-241.31,-27.76,-20.56,31.84,"1,042.7"
29,컴투스,"116,000","8,800",+8.21%,500,"263,126","111,100","117,000","110,500","115,900","116,000","30,149","126,789","5,072","6,169","12,866",12.32,"14,925","5,090","10,491",720,"1,141",8.46,764,"7,942","1,500",-9.40,14.61,8.49,7.44,1.14,"16,183.1"
30,파라다이스,"16,150",500,+3.19%,500,"867,855","16,050","16,600","15,950","16,150","16,200","14,137","972,959","134,391","64,346","90,943",4.41,"14,687","4,539","33,135","18,800",-862,-53.66,"-1,669",-803,N/A,-266.10,-20.11,-9.80,-4.92,1.18,"1,738.8"
31,에스에프에이,"39,800","1,200",+3.11%,500,"212,584","39,150","40,250","39,100","39,800","39,850","8,478","113,421","35,201","30,387","35,909",15.37,"14,292","15,512","17,994","5,199","1,673",-1.68,"1,186","2,849",950,-21.88,13.97,11.33,6.58,1.33,"5,702.9"
32,동화기업,"69,400",900,+1.31%,500,"42,977","69,800","70,900","68,100","69,000","69,400","2,995","38,742","5,449","3,508","20,201",43.70,"14,020","7,449","15,864","8,854",668,3.83,403,"3,279",N/A,14.29,21.16,4.33,2.66,1.99,"7,951.2"
33,대주전자재료,"90,000","4,400",+5.14%,500,"165,483","87,900","90,500","87,500","89,700","90,000","14,803","114,746","5,378","18,588","15,481",13.08,"13,933","1,545","2,060","1,188",90,32.79,53,858,50,238.74,104.90,6.12,2.64,13.46,706.6
34,티씨케이,"116,800","5,300",+4.75%,500,"48,183","113,900","116,900","111,500","116,200","116,800","5,572","26,990",244,"3,212","11,675",68.15,"13,636","2,282","3,086",381,803,33.16,605,"6,492","1,100",35.65,17.99,24.65,21.63,4.28,"4,533.2"
35,엔켐,"88,400","1,700",+1.96%,500,"98,984","89,700","89,900","85,800","88,300","88,400","8,763","148,190","6,401","5,473","15,213",1.44,"13,448","1,389","1,990",793,125,57.71,5,52,0,-1.17,"1,700.00",0.67,0.30,8.21,"1,956.1"
